OrderDate,ProductKey,EnglishProductName,SalesAmount,TaxAmt
"2016-01-08","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-08","479","Road Bottle Cage","8.99","0.7192"
"2016-01-09","540","HL Road Tire","32.6","2.608"
"2016-01-09","475","Women's Mountain Shorts, M","69.99","5.5992"
"2016-01-09","529","Road Tire Tube","3.99","0.3192"
"2016-01-09","487","Hydration Pack - 70 oz.","54.99","4.3992"
"2016-01-09","529","Road Tire Tube","3.99","0.3192"
"2016-01-09","487","Hydration Pack - 70 oz.","54.99","4.3992"
"2016-01-10","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-10","530","Touring Tire Tube","4.99","0.3992"
"2016-01-11","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-11","529","Road Tire Tube","3.99","0.3192"
"2016-01-11","359","Mountain-200 Black, 38","2294.99","183.5992"
"2016-01-11","537","HL Mountain Tire","35","2.8"
"2016-01-11","584","Road-750 Black, 58","539.99","43.1992"
"2016-01-11","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-11","580","Road-350-W Yellow, 40","1700.99","136.0792"
"2016-01-11","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-11","473","Classic Vest, L","63.5","5.08"
"2016-01-12","529","Road Tire Tube","3.99","0.3192"
"2016-01-13","484","Bike Wash - Dissolver","7.95","0.636"
"2016-01-13","386","Road-550-W Yellow, 42","1120.49","89.6392"
"2016-01-13","529","Road Tire Tube","3.99","0.3192"
"2016-01-14","563","Touring-1000 Yellow, 54","2384.07","190.7256"
"2016-01-14","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-15","530","Touring Tire Tube","4.99","0.3992"
"2016-01-15","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-16","479","Road Bottle Cage","8.99","0.7192"
"2016-01-16","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-16","536","ML Mountain Tire","29.99","2.3992"
"2016-01-17","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-17","231","Long-Sleeve Logo Jersey, M","49.99","3.9992"
"2016-01-17","586","Touring-3000 Blue, 50","742.35","59.388"
"2016-01-17","536","ML Mountain Tire","29.99","2.3992"
"2016-01-17","228","Long-Sleeve Logo Jersey, S","49.99","3.9992"
"2016-01-17","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-17","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-17","535","LL Mountain Tire","24.99","1.9992"
"2016-01-18","225","AWC Logo Cap","8.99","0.7192"
"2016-01-18","584","Road-750 Black, 58","539.99","43.1992"
"2016-01-18","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-19","345","Mountain-100 Silver, 42","3399.99","271.9992"
"2016-01-19","530","Touring Tire Tube","4.99","0.3992"
"2016-01-19","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-19","580","Road-350-W Yellow, 40","1700.99","136.0792"
"2016-01-19","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-19","580","Road-350-W Yellow, 40","1700.99","136.0792"
"2016-01-19","361","Mountain-200 Black, 42","2294.99","183.5992"
"2016-01-20","354","Mountain-200 Silver, 42","2071.4196","165.7136"
"2016-01-20","537","HL Mountain Tire","35","2.8"
"2016-01-20","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-20","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-20","529","Road Tire Tube","3.99","0.3192"
"2016-01-21","529","Road Tire Tube","3.99","0.3192"
"2016-01-21","536","ML Mountain Tire","29.99","2.3992"
"2016-01-21","487","Hydration Pack - 70 oz.","54.99","4.3992"
"2016-01-21","357","Mountain-200 Silver, 46","2319.99","185.5992"
"2016-01-21","465","Half-Finger Gloves, M","24.49","1.9592"
"2016-01-21","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-22","369","Road-250 Red, 48","2443.35","195.468"
"2016-01-22","237","Long-Sleeve Logo Jersey, XL","49.99","3.9992"
"2016-01-22","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-22","225","AWC Logo Cap","8.99","0.7192"
"2016-01-22","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-23","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-23","225","AWC Logo Cap","8.99","0.7192"
"2016-01-23","584","Road-750 Black, 58","539.99","43.1992"
"2016-01-24","475","Women's Mountain Shorts, M","69.99","5.5992"
"2016-01-24","538","LL Road Tire","21.49","1.7192"
"2016-01-24","355","Mountain-200 Silver, 42","2319.99","185.5992"
"2016-01-24","530","Touring Tire Tube","4.99","0.3992"
"2016-01-24","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-24","605","Road-750 Black, 48","539.99","43.1992"
"2016-01-24","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-24","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-25","312","Road-150 Red, 48","3578.27","286.2616"
"2016-01-25","541","Touring Tire","28.99","2.3192"
"2016-01-25","225","AWC Logo Cap","8.99","0.7192"
"2016-01-25","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-25","535","LL Mountain Tire","24.99","1.9992"
"2016-01-25","566","Touring-3000 Blue, 58","742.35","59.388"
"2016-01-25","536","ML Mountain Tire","29.99","2.3992"
"2016-01-26","324","Road-650 Red, 62","699.0982","55.9279"
"2016-01-26","488","Short-Sleeve Classic Jersey, S","53.99","4.3192"
"2016-01-26","541","Touring Tire","28.99","2.3192"
"2016-01-26","359","Mountain-200 Black, 38","2294.99","183.5992"
"2016-01-26","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-26","488","Short-Sleeve Classic Jersey, S","53.99","4.3192"
"2016-01-27","356","Mountain-200 Silver, 46","2071.4196","165.7136"
"2016-01-27","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-27","484","Bike Wash - Dissolver","7.95","0.636"
"2016-01-27","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-27","479","Road Bottle Cage","8.99","0.7192"
"2016-01-27","529","Road Tire Tube","3.99","0.3192"
"2016-01-27","490","Short-Sleeve Classic Jersey, L","53.99","4.3192"
"2016-01-27","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-28","539","ML Road Tire","24.99","1.9992"
"2016-01-28","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-28","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-28","225","AWC Logo Cap","8.99","0.7192"
"2016-01-29","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-29","606","Road-750 Black, 52","539.99","43.1992"
"2016-01-30","231","Long-Sleeve Logo Jersey, M","49.99","3.9992"
"2016-01-30","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-30","539","ML Road Tire","24.99","1.9992"
"2016-01-31","465","Half-Finger Gloves, M","24.49","1.9592"
"2016-01-31","536","ML Mountain Tire","29.99","2.3992"
"2016-01-31","486","All-Purpose Bike Stand","159","12.72"
"2016-02-01","310","Road-150 Red, 62","3578.27","286.2616"
"2016-02-01","484","Bike Wash - Dissolver","7.95","0.636"
"2016-02-01","528","Mountain Tire Tube","4.99","0.3992"
"2016-02-01","536","ML Mountain Tire","29.99","2.3992"
"2016-02-01","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-02-01","486","All-Purpose Bike Stand","159","12.72"
"2016-02-01","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-02-02","574","Touring-1000 Blue, 50","2384.07","190.7256"
"2016-02-02","477","Water Bottle - 30 oz.","4.99","0.3992"
