OrderDate,ProductKey,EnglishProductName,SalesAmount,TaxAmt
"2016-01-16","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-16","463","Half-Finger Gloves, S","24.49","1.9592"
"2016-01-17","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-17","363","Mountain-200 Black, 46","2294.99","183.5992"
"2016-01-17","538","LL Road Tire","21.49","1.7192"
"2016-01-17","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-18","356","Mountain-200 Silver, 46","2071.4196","165.7136"
"2016-01-18","541","Touring Tire","28.99","2.3192"
"2016-01-18","536","ML Mountain Tire","29.99","2.3992"
"2016-01-18","479","Road Bottle Cage","8.99","0.7192"
"2016-01-18","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-18","225","AWC Logo Cap","8.99","0.7192"
"2016-01-19","536","ML Mountain Tire","29.99","2.3992"
"2016-01-19","541","Touring Tire","28.99","2.3192"
"2016-01-20","479","Road Bottle Cage","8.99","0.7192"
"2016-01-20","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-21","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-21","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-21","357","Mountain-200 Silver, 46","2319.99","185.5992"
"2016-01-21","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-21","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-21","541","Touring Tire","28.99","2.3192"
"2016-01-21","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-21","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-22","540","HL Road Tire","32.6","2.608"
"2016-01-22","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-22","581","Road-350-W Yellow, 42","1700.99","136.0792"
"2016-01-22","539","ML Road Tire","24.99","1.9992"
"2016-01-23","313","Road-150 Red, 52","3578.27","286.2616"
"2016-01-23","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-23","463","Half-Finger Gloves, S","24.49","1.9592"
"2016-01-23","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-23","536","ML Mountain Tire","29.99","2.3992"
"2016-01-23","359","Mountain-200 Black, 38","2294.99","183.5992"
"2016-01-23","530","Touring Tire Tube","4.99","0.3992"
"2016-01-24","541","Touring Tire","28.99","2.3192"
"2016-01-24","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-25","310","Road-150 Red, 62","3578.27","286.2616"
"2016-01-25","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-25","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-25","541","Touring Tire","28.99","2.3192"
"2016-01-25","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-25","539","ML Road Tire","24.99","1.9992"
"2016-01-25","599","Mountain-500 Black, 48","539.99","43.1992"
"2016-01-25","376","Road-250 Black, 48","2443.35","195.468"
"2016-01-25","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-25","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-25","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-25","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-25","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-26","389","Road-550-W Yellow, 48","1000.4375","80.035"
"2016-01-26","368","Road-250 Red, 44","2443.35","195.468"
"2016-01-26","483","Hitch Rack - 4-Bike","120","9.6"
"2016-01-26","583","Road-350-W Yellow, 48","1700.99","136.0792"
"2016-01-26","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-26","479","Road Bottle Cage","8.99","0.7192"
"2016-01-26","595","Mountain-500 Silver, 52","564.99","45.1992"
"2016-01-26","540","HL Road Tire","32.6","2.608"
"2016-01-27","467","Half-Finger Gloves, L","24.49","1.9592"
"2016-01-28","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-28","487","Hydration Pack - 70 oz.","54.99","4.3992"
"2016-01-29","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-29","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-29","605","Road-750 Black, 48","539.99","43.1992"
"2016-01-29","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-29","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-29","479","Road Bottle Cage","8.99","0.7192"
"2016-01-29","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-29","571","Touring-3000 Yellow, 58","742.35","59.388"
"2016-01-29","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-29","536","ML Mountain Tire","29.99","2.3992"
"2016-01-29","481","Racing Socks, M","8.99","0.7192"
"2016-01-29","529","Road Tire Tube","3.99","0.3192"
"2016-01-29","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-29","484","Bike Wash - Dissolver","7.95","0.636"
"2016-01-30","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-30","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-30","537","HL Mountain Tire","35","2.8"
"2016-01-30","225","AWC Logo Cap","8.99","0.7192"
"2016-01-30","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-31","465","Half-Finger Gloves, M","24.49","1.9592"
"2016-02-01","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-02-01","584","Road-750 Black, 58","539.99","43.1992"
"2016-02-01","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-02-02","529","Road Tire Tube","3.99","0.3192"
"2016-02-02","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-02-02","475","Women's Mountain Shorts, M","69.99","5.5992"
"2016-02-02","606","Road-750 Black, 52","539.99","43.1992"
"2016-02-02","562","Touring-1000 Yellow, 50","2384.07","190.7256"
